Дата,Температура (день),Давление (день),Облачность (день),Ветер (день),Температура (вечер),Давление (вечер),Облачность (вечер),Ветер (вечер)
2016-01-01,-16.0,762.0,Ясно,СВ 2м/с,-18.0,762.0,Ясно,СВ 2м/с
2016-01-02,-19.0,760.0,Малооблачно,В 1м/с,-20.0,758.0,Малооблачно,В 1м/с
2016-01-03,-12.0,745.0,Пасмурно,В 3м/с,-14.0,745.0,Пасмурно,В 3м/с
2016-01-04,-17.0,752.0,Малооблачно,ЮВ 2м/с,-17.0,755.0,Малооблачно,ЮВ 2м/с
2016-01-05,,,Неизвестно,,-15.0,758.0,Пасмурно,Ш
2016-01-06,-16.0,756.0,Переменная облачность,В 4м/с,-17.0,755.0,Малооблачно,В 4м/с
2016-01-07,-16.0,752.0,Пасмурно,В 3м/с,-14.0,751.0,Пасмурно,В 3м/с
2016-01-08,-9.0,750.0,Пасмурно,В 3м/с,-7.0,749.0,Пасмурно,В 3м/с
2016-01-09,-6.0,740.0,Пасмурно,В 5м/с,-3.0,737.0,Пасмурно,В 5м/с
2016-01-10,,,Неизвестно,,-6.0,738.0,Пасмурно,Ш
2016-01-11,-12.0,744.0,Переменная облачность,З 2м/с,-15.0,747.0,Ясно,З 2м/с
2016-01-12,-17.0,755.0,Ясно,З 1м/с,-19.0,754.0,Ясно,З 1м/с
2016-01-13,-11.0,747.0,Пасмурно,В 4м/с,-9.0,746.0,Пасмурно,В 4м/с
2016-01-14,-6.0,747.0,Пасмурно,ЮВ 2м/с,-7.0,746.0,Пасмурно,ЮВ 2м/с
2016-01-15,-5.0,749.0,Пасмурно,З 2м/с,-4.0,750.0,Переменная облачность,З 2м/с
2016-01-16,-6.0,756.0,Ясно,СЗ 1м/с,-13.0,758.0,Ясно,СЗ 1м/с
2016-01-17,-12.0,755.0,Ясно,В 4м/с,-8.0,753.0,Пасмурно,В 4м/с
2016-01-18,-4.0,752.0,Пасмурно,ЮВ 3м/с,-4.0,751.0,Пасмурно,ЮВ 3м/с
2016-01-19,-7.0,743.0,Пасмурно,В 3м/с,-5.0,742.0,Пасмурно,В 3м/с
2016-01-20,-2.0,741.0,Пасмурно,В 1м/с,-3.0,742.0,Пасмурно,В 1м/с
2016-01-21,-8.0,754.0,Малооблачно,ЮЗ 4м/с,-10.0,759.0,Ясно,ЮЗ 4м/с
2016-01-22,-12.0,764.0,Пасмурно,В 3м/с,-10.0,761.0,Пасмурно,В 3м/с
2016-01-23,-6.0,758.0,Малооблачно,ЮВ 2м/с,-8.0,756.0,Пасмурно,ЮВ 2м/с
2016-01-24,-8.0,757.0,Пасмурно,СВ 1м/с,-13.0,758.0,Малооблачно,СВ 1м/с
2016-01-25,-19.0,756.0,Ясно,СЗ 2м/с,-22.0,756.0,Ясно,СЗ 2м/с
2016-01-26,-19.0,755.0,Ясно,СЗ 4м/с,-22.0,756.0,Ясно,СЗ 4м/с
2016-01-27,-17.0,755.0,Ясно,В 2м/с,-20.0,755.0,Ясно,В 2м/с
2016-01-28,-17.0,753.0,Ясно,В 2м/с,-20.0,754.0,Ясно,В 2м/с
2016-01-29,-11.0,745.0,Пасмурно,ЮВ 3м/с,-10.0,744.0,Пасмурно,ЮВ 3м/с
2016-01-30,-3.0,746.0,Пасмурно,З 1м/с,-1.0,747.0,Переменная облачность,З 1м/с
2016-01-31,1.0,749.0,Пасмурно,Ю 1м/с,0.0,749.0,Пасмурно,Ю 1м/с
2016-02-01,2.0,744.0,Пасмурно,Ю 3м/с,0.0,746.0,Пасмурно,Ю 3м/с
2016-02-02,0.0,746.0,Пасмурно,Ю 1м/с,0.0,745.0,Пасмурно,Ю 1м/с
2016-02-03,0.0,740.0,Пасмурно,ЮЗ 2м/с,0.0,738.0,Пасмурно,ЮЗ 2м/с
2016-02-04,2.0,743.0,Малооблачно,З 3м/с,0.0,744.0,Малооблачно,З 3м/с
2016-02-05,1.0,745.0,Пасмурно,З 1м/с,-1.0,747.0,Пасмурно,З 1м/с
2016-02-06,-3.0,749.0,Малооблачно,З 1м/с,-5.0,749.0,Пасмурно,З 1м/с
2016-02-07,-2.0,753.0,Пасмурно,СЗ 2м/с,-5.0,755.0,Ясно,СЗ 2м/с
2016-02-08,-3.0,755.0,Пасмурно,З 2м/с,-2.0,755.0,Ясно,З 2м/с
2016-02-09,0.0,758.0,Ясно,З 2м/с,-4.0,760.0,Ясно,З 2м/с
2016-02-10,0.0,763.0,Ясно,ЮЗ 3м/с,-4.0,764.0,Ясно,ЮЗ 3м/с
2016-02-11,-7.0,765.0,Пасмурно,В 3м/с,-8.0,765.0,Пасмурно,В 3м/с
2016-02-12,-4.0,764.0,Ясно,В 2м/с,-9.0,764.0,Ясно,В 2м/с
2016-02-13,-3.0,761.0,Ясно,В 1м/с,-8.0,759.0,Ясно,В 1м/с
2016-02-14,-5.0,759.0,Ясно,ЮВ 3м/с,-7.0,759.0,Ясно,ЮВ 3м/с
2016-02-15,-5.0,760.0,Малооблачно,В 2м/с,-5.0,761.0,Малооблачно,В 2м/с
2016-02-16,-2.0,759.0,Пасмурно,В 3м/с,-3.0,755.0,Пасмурно,В 3м/с
2016-02-17,0.0,748.0,Пасмурно,СЗ 3м/с,-3.0,749.0,Пасмурно,СЗ 3м/с
2016-02-18,-2.0,753.0,Переменная облачность,СВ 3м/с,-2.0,756.0,Пасмурно,СВ 3м/с
2016-02-19,0.0,761.0,Пасмурно,СВ 2м/с,-2.0,761.0,Ясно,СВ 2м/с
2016-02-20,1.0,758.0,Ясно,В 3м/с,-1.0,755.0,Переменная облачность,В 3м/с
2016-02-21,-4.0,750.0,Пасмурно,В 3м/с,-4.0,749.0,Пасмурно,В 3м/с
2016-02-22,-3.0,756.0,Пасмурно,ЮВ 2м/с,-5.0,754.0,Пасмурно,ЮВ 2м/с
2016-02-23,3.0,749.0,Пасмурно,ЮЗ 1м/с,1.0,750.0,Пасмурно,ЮЗ 1м/с
2016-02-24,3.0,749.0,Малооблачно,ЮВ 1м/с,1.0,749.0,Пасмурно,ЮВ 1м/с
2016-02-25,0.0,742.0,Пасмурно,ЮВ 2м/с,-1.0,741.0,Пасмурно,ЮВ 2м/с
2016-02-26,3.0,749.0,Малооблачно,З 3м/с,-1.0,753.0,Ясно,З 3м/с
2016-02-27,1.0,758.0,Пасмурно,Ю 2м/с,-1.0,757.0,Переменная облачность,Ю 2м/с
2016-02-28,1.0,758.0,Пасмурно,З 1м/с,1.0,760.0,Переменная облачность,З 1м/с
2016-02-29,2.0,760.0,Малооблачно,Ш,-4.0,758.0,Ясно,Ш
